epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,1.1338919401168823,0.4936661422252655,0.6451662182807922,0.25281384587287903,0.8280076384544373,1.019785761833191,0.5544000267982483,0.6470769643783569,0.3772200047969818,0.8628870248794556
1,1.022692322731018,0.5561538338661194,0.6526578068733215,0.3713492453098297,0.86241215467453,0.9971397519111633,0.5650399923324585,0.6633100509643555,0.3781000077724457,0.8688616156578064
2,1.0011168718338013,0.5648969411849976,0.655968427658081,0.39219847321510315,0.868094265460968,0.9733414649963379,0.5740600228309631,0.6570364236831665,0.41982001066207886,0.874690055847168
3,0.9778159856796265,0.5739399790763855,0.6564640402793884,0.4162153899669647,0.8738366961479187,0.9477654695510864,0.5838599801063538,0.6569223403930664,0.44944000244140625,0.880853533744812
4,0.9594941139221191,0.5810430645942688,0.6586858630180359,0.43455231189727783,0.8782837986946106,0.938729465007782,0.5857599973678589,0.6556363701820374,0.458079993724823,0.8828033804893494
5,0.947060763835907,0.5857353806495667,0.66009920835495,0.44652462005615234,0.8812530040740967,0.9415019750595093,0.5854799747467041,0.6582208275794983,0.4514999985694885,0.8823027014732361
6,0.9393118023872375,0.589163064956665,0.6617182493209839,0.45356306433677673,0.8831409811973572,0.9239051342010498,0.5893399715423584,0.664564847946167,0.4574199914932251,0.8862941265106201
7,0.9316308498382568,0.5923538208007812,0.66309654712677,0.4601430892944336,0.8849130272865295,0.9230316281318665,0.5939199924468994,0.6602096557617188,0.4798800051212311,0.8869606852531433
8,0.9266135692596436,0.5944600105285645,0.6644545793533325,0.46626922488212585,0.88613361120224,0.9139216542243958,0.5956400036811829,0.6585450768470764,0.49191999435424805,0.8890115022659302
9,0.9214276671409607,0.5966861248016357,0.664763867855072,0.4706476926803589,0.8873255252838135,0.912213146686554,0.5963600277900696,0.6599087119102478,0.4830400049686432,0.8892813920974731
