epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.5982657670974731,0.8317760825157166,0.9783750176429749,0.22877076268196106,-708.3805541992188,0.6817127466201782,0.8653113842010498,0.9545249938964844,0.25360000133514404,-1430.759033203125
1,0.6722061634063721,0.8595837354660034,0.966130793094635,0.2518969178199768,-2167.60595703125,0.6943402290344238,0.8688822388648987,0.9693250060081482,0.26155999302864075,-2922.659912109375
2,0.7061798572540283,0.8738633394241333,0.9600615501403809,0.2624061405658722,-3671.006591796875,0.706960916519165,0.8744925260543823,0.9639750123023987,0.26451998949050903,-4411.23388671875
3,0.7090331315994263,0.875257670879364,0.9601711630821228,0.26404616236686707,-5141.62353515625,0.7408194541931152,0.8902755975723267,0.9416000247001648,0.2693600058555603,-5858.6259765625
4,0.7032759189605713,0.873136043548584,0.9606192111968994,0.26214152574539185,-6607.806640625,0.6234230995178223,0.8418950438499451,0.9800500273704529,0.23928000032901764,-7324.939453125
5,0.7060067653656006,0.8744081258773804,0.9599000215530396,0.263156920671463,-8078.43505859375,0.700348973274231,0.8731846213340759,0.9424499869346619,0.2540999948978424,-8519.8720703125
6,0.7075750231742859,0.8751184344291687,0.9590692520141602,0.26338768005371094,-9553.6865234375,0.6839295625686646,0.8649890422821045,0.9693499803543091,0.2582800090312958,-10281.48828125
7,0.7094548940658569,0.8758987784385681,0.9597846269607544,0.2644953727722168,-11041.5419921875,0.6789746284484863,0.8634010553359985,0.9672250151634216,0.2558000087738037,-11776.5234375
8,0.7084325551986694,0.8755077719688416,0.9595480561256409,0.26416152715682983,-12512.8447265625,0.7084710597991943,0.8761133551597595,0.9467499852180481,0.25874000787734985,-13226.4130859375
9,0.7086362838745117,0.8757211565971375,0.9589365124702454,0.26404616236686707,-13994.9150390625,0.7236118912696838,0.8828128576278687,0.9484500288963318,0.2654399871826172,-14731.228515625
10,0.7084248065948486,0.8756310343742371,0.9589422941207886,0.2640061676502228,-15475.1669921875,0.7389193773269653,0.889543354511261,0.9476749897003174,0.2717199921607971,-16243.7119140625
11,0.7107937335968018,0.8766374588012695,0.9596769213676453,0.2652553915977478,-16966.51953125,0.6854665279388428,0.8668386340141296,0.9578999876976013,0.25496000051498413,-17701.18359375
12,0.7114791870117188,0.8768935799598694,0.9600096344947815,0.26579076051712036,-18433.666015625,0.7103252410888672,0.8763680458068848,0.958899974822998,0.2650800049304962,-19098.734375
13,0.7093274593353271,0.8760237693786621,0.9599922895431519,0.26487845182418823,-19906.23828125,0.714206337928772,0.8780537843704224,0.9596250057220459,0.2671000063419342,-20591.970703125
14,0.7112362384796143,0.8768572807312012,0.9601384401321411,0.2658230662345886,-21399.08203125,0.711026668548584,0.8766037225723267,0.9617000222206116,0.26600000262260437,-22159.2578125
15,0.7101871967315674,0.876373291015625,0.960746169090271,0.26556307077407837,-22870.470703125,0.7280091047286987,0.8843486905097961,0.9533500075340271,0.27000001072883606,-23528.982421875
16,0.7113074064254761,0.8768720626831055,0.9602288603782654,0.2657969295978546,-24351.052734375,0.7118525505065918,0.8775674104690552,0.9559999704360962,0.26405999064445496,-25077.2421875
17,0.711272120475769,0.8769192695617676,0.9598269462585449,0.2658107578754425,-25824.34765625,0.6881601214408875,0.8672500848770142,0.9686750173568726,0.2604199945926666,-26547.80859375
18,0.7109552621841431,0.8766858577728271,0.9610499739646912,0.2661876976490021,-27306.1796875,0.710476815700531,0.8762807250022888,0.9664499759674072,0.2684600055217743,-27962.15625
19,0.7117233276367188,0.877092719078064,0.9599442481994629,0.26601845026016235,-28765.85546875,0.720687985420227,0.8809671401977539,0.9591749906539917,0.2694000005722046,-29578.4453125
20,0.7132107615470886,0.8776670694351196,0.9604884386062622,0.2666753828525543,-30267.88671875,0.6818890571594238,0.8647738695144653,0.9632499814033508,0.255840003490448,-30949.234375
21,0.7128329277038574,0.8775823712348938,0.9598826766014099,0.266392320394516,-31768.365234375,0.7350760698318481,0.8877624869346619,0.9501500129699707,0.27153998613357544,-32468.896484375
22,0.7090598344802856,0.8760620355606079,0.9606980681419373,0.26547229290008545,-33192.12109375,0.6863751411437988,0.8666741251945496,0.965149998664856,0.25845998525619507,-33933.984375
