epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.7952688932418823,0.8341257572174072,0.6175199747085571,0.7473599910736084,0.47919878363609314,0.8608072996139526,0.8724796772003174,0.7892799973487854,0.8369600176811218,0.3669455945491791
1,0.87025386095047,0.8750436902046204,0.8011199831962585,0.8433600068092346,0.35595858097076416,0.8633556365966797,0.9283603429794312,0.7287999987602234,0.8362799882888794,0.3443734645843506
2,0.8925088047981262,0.897068977355957,0.8324800133705139,0.8684800267219543,0.3107149302959442,0.8964608907699585,0.8858122825622559,0.8471199870109558,0.8689600229263306,0.3066239356994629
3,0.9029067754745483,0.9066332578659058,0.8397600054740906,0.8766400218009949,0.28837960958480835,0.8915848135948181,0.9162424802780151,0.7919999957084656,0.8597999811172485,0.3050510287284851
4,0.9085233211517334,0.9161847233772278,0.849120020866394,0.8857200145721436,0.27144473791122437,0.8854090571403503,0.9240542054176331,0.7796800136566162,0.8578000068664551,0.30598464608192444
5,0.9140509366989136,0.9216192960739136,0.8560000061988831,0.8916000127792358,0.2613844871520996,0.8984955549240112,0.8782849311828613,0.8636000156402588,0.8719599843025208,0.30475282669067383
6,0.9172840714454651,0.9235183000564575,0.8626400232315063,0.8956000208854675,0.25143808126449585,0.8981828093528748,0.8831295967102051,0.8668799996376038,0.8760799765586853,0.29834428429603577
7,0.9202099442481995,0.9268710613250732,0.8659200072288513,0.8988000154495239,0.24229417741298676,0.8954355120658875,0.9003953337669373,0.83815997838974,0.8727200031280518,0.2951406240463257
8,0.9261800646781921,0.9311809539794922,0.876800000667572,0.906000018119812,0.22994370758533478,0.8921986818313599,0.8941959142684937,0.8492000102996826,0.8743600249290466,0.30622580647468567
9,0.9301861524581909,0.9349393248558044,0.8817600011825562,0.9101999998092651,0.2184155434370041,0.8920763731002808,0.8693451285362244,0.879360020160675,0.8736000061035156,0.3219536244869232
