epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,0.6591622829437256,0.5910000205039978,0.5687602162361145,0.7527199983596802,0.6440948247909546,0.49709925055503845,0.7805200219154358,0.7208818793296814,0.9155200123786926,0.8598577976226807
1,0.4093332290649414,0.8332399725914001,0.8350896835327148,0.8304799795150757,0.8976339101791382,0.3846592605113983,0.8409199714660645,0.8887875080108643,0.7793599963188171,0.9167795777320862
2,0.35191965103149414,0.8578400015830994,0.8548310399055481,0.8620799779891968,0.9232305884361267,0.3455376625061035,0.8539999723434448,0.8904871344566345,0.8072800040245056,0.931025505065918
3,0.33133432269096375,0.8672000169754028,0.8638237118721008,0.8718400001525879,0.9321151971817017,0.34981319308280945,0.8494399785995483,0.8962982892990112,0.7903199791908264,0.9322412014007568
4,0.32118475437164307,0.8708400130271912,0.867750883102417,0.8750399947166443,0.9360650777816772,0.3553285300731659,0.8476399779319763,0.9110774993896484,0.7704799771308899,0.93482506275177
5,0.31517836451530457,0.873520016670227,0.870790958404541,0.8772000074386597,0.9383129477500916,0.3267488181591034,0.859000027179718,0.8615744113922119,0.8554400205612183,0.9349532723426819
6,0.31202971935272217,0.8748400211334229,0.868559718132019,0.8833600282669067,0.9395052194595337,0.3274787366390228,0.8641200065612793,0.8533499240875244,0.879360020160675,0.9351843595504761
7,0.3099416494369507,0.875,0.8703484535217285,0.8812800049781799,0.9404242038726807,0.3248414695262909,0.8656399846076965,0.8684401512145996,0.861840009689331,0.9366941452026367
8,0.30846819281578064,0.8746399879455566,0.8709600567817688,0.8795999884605408,0.9412108063697815,0.3271326720714569,0.8621600270271301,0.8432666063308716,0.889680027961731,0.9355143308639526
9,0.30380237102508545,0.878279983997345,0.8737649321556091,0.8843200206756592,0.9427477717399597,0.3360469937324524,0.8554400205612183,0.8242118954658508,0.9035999774932861,0.9339365363121033
